Antecedent,Consequent,Support,Confidence
frozenset({'YouTube ad revenue (TWD)_High Revenue'}),frozenset({'Views_High'}),0.24242424242424243,0.7272727272727273
frozenset({'Views_High'}),frozenset({'YouTube ad revenue (TWD)_High Revenue'}),0.24242424242424243,0.7272727272727273
frozenset({'Views_Low'}),frozenset({'YouTube ad revenue (TWD)_Low Revenue'}),0.24675324675324675,0.7402597402597403
frozenset({'YouTube ad revenue (TWD)_Low Revenue'}),frozenset({'Views_Low'}),0.24675324675324675,0.7402597402597403
frozenset({'Watch time (hours)_High'}),frozenset({'YouTube ad revenue (TWD)_High Revenue'}),0.24242424242424243,0.7272727272727273
frozenset({'YouTube ad revenue (TWD)_High Revenue'}),frozenset({'Watch time (hours)_High'}),0.24242424242424243,0.7272727272727273
frozenset({'YouTube ad revenue (TWD)_Low Revenue'}),frozenset({'Watch time (hours)_Low'}),0.24242424242424243,0.7272727272727273
frozenset({'Watch time (hours)_Low'}),frozenset({'YouTube ad revenue (TWD)_Low Revenue'}),0.24242424242424243,0.7272727272727273
frozenset({'YouTube ad revenue (TWD)_High Revenue'}),frozenset({'Dislikes_High'}),0.23376623376623376,0.7012987012987013
frozenset({'Dislikes_High'}),frozenset({'YouTube ad revenue (TWD)_High Revenue'}),0.23376623376623376,0.7012987012987013
frozenset({'Subscribers_High'}),frozenset({'Subscribers gained_High'}),0.3203463203463203,0.9866666666666666
frozenset({'Subscribers gained_High'}),frozenset({'Subscribers_High'}),0.3203463203463203,0.961038961038961
frozenset({'Subscribers gained_Low'}),frozenset({'Subscribers_Low'}),0.3246753246753247,0.974025974025974
frozenset({'Subscribers_Low'}),frozenset({'Subscribers gained_Low'}),0.3246753246753247,0.9615384615384616
frozenset({'Subscribers gained_Medium'}),frozenset({'Subscribers_Medium'}),0.31601731601731603,0.9480519480519481
frozenset({'Subscribers_Medium'}),frozenset({'Subscribers gained_Medium'}),0.31601731601731603,0.9358974358974359
"frozenset({'Subscribers lost_High', 'Subscribers_High'})",frozenset({'Subscribers gained_High'}),0.11688311688311688,1.0
"frozenset({'Subscribers lost_High', 'Subscribers gained_High'})",frozenset({'Subscribers_High'}),0.11688311688311688,0.9310344827586207
"frozenset({'Subscribers lost_High', 'Subscribers_High'})",frozenset({'Subscribers gained_High'}),0.11688311688311688,1.0
"frozenset({'Subscribers lost_High', 'Subscribers gained_High'})",frozenset({'Subscribers_High'}),0.11688311688311688,0.9310344827586207
"frozenset({'Subscribers lost_Low', 'Subscribers_High'})",frozenset({'Subscribers gained_High'}),0.13852813852813853,0.9696969696969697
