Views,Watch time (hours),Likes,Dislikes,Subscribers gained,YouTube ad revenue (TWD)
17229,1457.7331,195,7,31,1220.263
8769,748.874,107,0,22,1046.628
11017,1520.7899,84,4,28,2361.05
19218,1938.0633,156,15,70,4759.248
8918,940.0849,83,4,23,1901.987
27616,2021.2266,264,14,124,5531.64
6631,664.7331,67,4,23,1270.728
9553,959.6805,93,6,16,1927.912
14879,1712.8567,114,11,34,3389.595
14696,1224.6302,173,4,73,2684.596
5348,510.5997,54,1,13,1111.143
20605,1749.389,197,20,95,5119.954
61912,6591.5356,597,38,269,17358.494
9384,1348.8961,87,5,35,2105.39
6136,450.4648,76,2,18,1299.162
9756,952.4931,100,8,28,2040.996
21551,2329.5732,170,22,60,5242.786
7883,596.7524,101,4,32,1342.81
20866,1814.8714,232,18,45,5540.313
18039,1268.8056,176,8,70,3718.444
5623,604.8206,66,2,16,1453.286
8175,934.2335,88,2,24,1792.42
12835,1765.8605,140,5,24,3042.348
8265,672.3743,121,3,25,1828.748
10861,1193.7096,120,5,22,2368.033
10409,1397.3143,131,9,23,1904.314
7587,794.4389,59,4,14,1330.575
12995,1716.7521,136,11,23,2642.45
7298,679.2601,102,9,14,1374.93
9635,937.394,113,3,24,1613.866
10718,1223.972,113,7,18,1939.349
7658,771.3439,105,4,13,1499.44
11582,1492.6422,112,8,13,2010.485
7881,1287.5876,93,10,15,1737.758
8039,622.383,91,6,14,689.629
16609,1408.6248,165,32,23,3132.103
9186,722.8878,97,3,19,1532.982
7138,708.9865,94,3,14,1391.915
11432,1447.4921,123,8,23,2511.853
27092,2688.2887,281,17,69,6459.366
17572,1737.0624,216,9,59,3952.096
11989,1259.7181,113,8,11,2268.303
8276,825.4819,89,4,11,1765.473
24996,3425.8972,155,19,27,4331.54
13327,1710.8954,133,9,18,3060.05
7401,770.3362,72,5,9,1032.582
19543,1860.1862,155,15,28,4078.862
5665,479.0233,50,2,11,694.908
12180,968.9731,106,8,10,2092.655
26173,2895.0844,227,11,83,6199.161
31020,3111.7055,604,31,126,8246.979
23134,2503.5752,494,11,71,5309.166
29848,4092.1348,822,32,123,7083.922
18704,1883.0548,192,14,35,5140.97
34823,4423.6362,476,34,106,9468.734
22112,2039.3855,909,21,92,5813.727
16998,1549.7137,279,17,49,4025.657
35007,3357.3338,616,29,145,7713.231
16044,1596.3951,365,15,50,3816.91
19693,2086.0811,346,15,57,4766.82
13705,1414.0469,247,7,23,3402.355
14155,1575.2523,197,12,23,2414.67
22563,2140.9237,373,22,55,6851.408
9209,902.6282,168,11,22,2874.018
12221,1277.982,127,6,18,3208.756
13577,1894.6282,170,12,26,3221.583
10340,1022.0576,199,9,25,2920.077
12218,1155.3061,249,3,35,3379.594
10034,672.3629,183,12,25,760.66
12366,1308.4761,219,9,30,2588.2
9419,1023.3022,132,10,27,2277.935
9562,1010.9564,157,9,17,2326.485
7638,675.5352,132,6,21,1568.767
8622,565.6581,124,17,12,1504.866
8905,842.5621,144,10,14,1736.182
22536,2109.1254,235,26,33,5586.549
15143,1799.7421,166,9,24,4306.067
10130,3374.3702,98,23,6,722.336
17727,2406.1187,127,20,14,3894.563
8367,3892.3697,56,12,8,563.638
15366,2336.6225,100,12,23,3111.133
10434,1579.2346,67,17,10,1404.92
27301,4232.3954,153,63,40,6723.444
5797,648.9512,111,7,9,999.177
5232,424.3041,80,4,4,733.454
